id,name,team,position,price,start_prob,goal_share,assist_share,saves_p90,yellow_p90,ownership,pen_taker,avg_points,total_points
1341,Dennis Hadzikadunic,Bosnia and Herzegovina,DEF,3.7,0.12,0.0115,0.0217,0.0,0.15,0.0,0,0,0
144,Nihad Mujakic,Bosnia and Herzegovina,DEF,3.6,0.12,0.0115,0.0217,0.0,0.15,0.0,0,0,0
145,Nidal Celik,Bosnia and Herzegovina,DEF,3.5,0.9,0.0115,0.0217,0.0,0.15,0.005,0,0,0
146,Ermedin Demirovic,Bosnia and Herzegovina,FWD,6.2,0.45,0.086,0.0435,0.0,0.15,0.001,0,0,0
147,Edin Dzeko,Bosnia and Herzegovina,FWD,6.1,0.9,0.086,0.0435,0.0,0.15,0.011,0,0,0
148,Jovo Lukic,Bosnia and Herzegovina,FWD,5.6,0.12,0.086,0.0435,0.0,0.15,0.0,0,0,0
149,Haris Tabakovic,Bosnia and Herzegovina,FWD,5.1,0.12,0.086,0.0435,0.0,0.15,0.001,0,0,0
150,Esmir Bajraktarevic,Bosnia and Herzegovina,FWD,4.7,0.45,0.086,0.0435,0.0,0.15,0.002,0,0,0
151,Samed Bazdar,Bosnia and Herzegovina,FWD,4.5,0.12,0.086,0.0435,0.0,0.15,0.0,0,0,0
152,Kerim Alajbegovic,Bosnia and Herzegovina,FWD,4.2,0.9,0.086,0.0435,0.0,0.15,0.003,0,0,0
153,Nikola Vasilj,Bosnia and Herzegovina,GK,4.0,0.45,0.0,0.0,3.0,0.08,0.007,0,0,0
155,Martin Zlomislic,Bosnia and Herzegovina,GK,3.5,0.45,0.0,0.0,3.0,0.08,0.003,0,0,0
2067,Mladen Jurkas,Bosnia and Herzegovina,GK,3.5,0.9,0.0,0.0,3.0,0.08,0.015,0,0,0
162,Amir Hadziahmetovic,Bosnia and Herzegovina,MID,5.5,0.12,0.0382,0.0652,0.0,0.15,0.0,0,0,0
161,Benjamin Tahirovic,Bosnia and Herzegovina,MID,5.3,0.9,0.0382,0.0652,0.0,0.15,0.001,0,0,0
159,Armin Gigovic,Bosnia and Herzegovina,MID,5.1,0.45,0.0382,0.0652,0.0,0.15,0.0,0,0,0
160,Ivan Basic,Bosnia and Herzegovina,MID,5.1,0.12,0.0382,0.0652,0.0,0.15,0.0,0,0,0
158,Ivan Sunjic,Bosnia and Herzegovina,MID,5.1,0.45,0.0382,0.0652,0.0,0.15,0.0,0,0,0
157,Dzenis Burnic,Bosnia and Herzegovina,MID,4.9,0.9,0.0382,0.0652,0.0,0.15,0.0,0,0,0
156,Amar Memic,Bosnia and Herzegovina,MID,4.7,0.9,0.0382,0.0652,0.0,0.15,0.001,0,0,0
1342,Ermin Mahmic,Bosnia and Herzegovina,MID,4.2,0.9,0.0382,0.0652,0.0,0.15,0.001,0,0,0
1961,Alphonso Davies,Canada,DEF,4.9,0.9,0.012,0.0213,0.0,0.15,0.046,0,0,0
1964,Moïse Bombito,Canada,DEF,4.1,0.45,0.012,0.0213,0.0,0.15,0.002,0,0,0
1963,Alistair Johnston,Canada,DEF,4.0,0.9,0.012,0.0213,0.0,0.15,0.006,0,0,0
